thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,BREAK.started,key_resp_5.started,text_3.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011359400115907192,0.01594820013269782,0.011120600160211325,1.5598963999655098,[-0.060625],[0.064375],[1],[0],[0],[1.5477148001082242],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971507,001,2025-02-03_08h17.48.708,Foreperiod_task,2024.2.4,90.69941031398004,2025-02-03 08h17.54.400430 -0800,
0,0,0,[-0.060625],[0.064375],[1],[0],[0],[2.6313388000708073],[],[],[],[],[],[],,,,0,0,0,0,0,0,0,0,1.569250199943781,,,,,,,,,,,,1.560881500132382,1.569250199943781,0.0008735998999327421,1.569250199943781,1.7691739001311362,2.936287499964237,2.936287499964237,2.936287499964237,2.947011800017208,4.19282600004226,1.3739343478459944,task,1.257404452224813,[-0.060625],[0.064375],[1],[0],[0],[2.6313388000708073],4.19302500016056,4.202578200027347,9.189988486468792e-05,4.502539300126955,5.71497349999845,[],[],[],[],[],[],,,,,,,,,971507,001,2025-02-03_08h17.48.708,Foreperiod_task,2024.2.4,90.69941031398004,2025-02-03 08h17.54.400430 -0800,
0,0,0,,,,,,,,,,,,,space,0.2737944999244064,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7174923999700695,5.74968250002712,5.74968250002712,6.0256662000902,space,0.2737944999244064,None,,971507,001,2025-02-03_08h17.48.708,Foreperiod_task,2024.2.4,90.69941031398004,2025-02-03 08h17.54.400430 -0800,
0,0,0,[-0.060625],[0.064375],[1],[0],[0],[0.7660262000281364],[],[],[],[],[],[],,,,1,0,1,0,0,0,0,0,6.035036599962041,,,,,,,,,,,,6.025997300166637,6.035036599962041,0.0002995000686496496,6.035036599962041,6.235808599973097,6.524883799953386,6.524883799953386,6.524883799953386,6.5360225001350045,6.792516400106251,0.5,task,0.2660262000281364,[-0.060625],[0.064375],[1],[0],[0],[0.7660262000281364],6.792632699944079,6.80301530007273,5.6800199672579765e-05,7.102271200157702,8.258735000155866,[],[],[],[],[],[],,,,,,,,,971507,001,2025-02-03_08h17.48.708,Foreperiod_task,2024.2.4,90.69941031398004,2025-02-03 08h17.54.400430 -0800,
1,0,1,,,,,,,,,,,,,space,0.2815659998450428,None,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25941070006229,8.269544700160623,8.269544700160623,8.559641800122336,space,0.2815659998450428,None,,971507,001,2025-02-03_08h17.48.708,Foreperiod_task,2024.2.4,90.69941031398004,2025-02-03 08h17.54.400430 -0800,
0,0,0,[-0.060625],[0.06375],[1],[0],[0],[2.2428910001181066],[],[],[],[],[],[],,,,2,0,2,0,0,0,0,0,8.569095000158995,,,,,,,,,,,,8.560538900084794,8.569095000158995,0.0008719998877495527,8.569095000158995,8.769282500026748,10.558879500022158,10.558879500022158,10.558879500022158,10.569533200003207,10.804269999964163,2,task,0.2428910001181066,[-0.060625],[0.06375],[1],[0],[0],[2.2428910001181066],10.804452399956062,10.813799900002778,9.989994578063488e-05,11.113779000006616,12.381532700033858,[],[],[],[],[],[],,,,,,,,,971507,001,2025-02-03_08h17.48.708,Foreperiod_task,2024.2.4,90.69941031398004,2025-02-03 08h17.54.400430 -0800,
2,0,2,,,,,,,,,,,,,space,0.405520600033924,None,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.383346399990842,12.39170360006392,12.39170360006392,12.80365030001849,space,0.405520600033924,None,,971507,001,2025-02-03_08h17.48.708,Foreperiod_task,2024.2.4,90.69941031398004,2025-02-03 08h17.54.400430 -0800,
0,0,0,[-0.060625],[0.06375],[1],[0],[0],[1.3888987000100315],[],[],[],[],[],[],,,,3,0,3,0,0,0,0,0,12.813706800108775,,,,,,,,,,,,12.803916800068691,12.813706800108775,0.0002555998507887125,12.813706800108775,13.013822500128299,,,,,14.193762100068852,2,task,-0.6111012999899685,[-0.060625],[0.06375],[1],[0],[0],[1.3888987000100315],14.194005500059575,14.204367600148544,0.00011830008588731289,14.503272700123489,15.814957200083882,[],[],[],[],[],[],,,,,,,,14.204367600148544,971507,001,2025-02-03_08h17.48.708,Foreperiod_task,2024.2.4,90.69941031398004,2025-02-03 08h17.54.400430 -0800,
3,0,3,,,,,,,,,,,,,space,0.25545990001410246,None,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.816531999967992,15.825057700043544,15.825057700043544,16.083143800031394,space,0.25545990001410246,None,,971507,001,2025-02-03_08h17.48.708,Foreperiod_task,2024.2.4,90.69941031398004,2025-02-03 08h17.54.400430 -0800,
0,0,0,[-0.060625],[0.06375],[1],[0],[0],[2.242436199914664],[],[],[],[],[],[],,,,4,0,4,0,0,0,0,0,16.09152250015177,,,,,,,,,,,,16.083711500046775,16.09152250015177,0.0005386997945606709,16.09152250015177,16.29164750012569,18.08050770009868,18.08050770009868,18.08050770009868,18.0923538999632,18.327360900118947,2,task,0.24243619991466403,[-0.060625],[0.06375],[1],[0],[0],[2.242436199914664],18.3275970001705,18.336407399969175,0.00010910001583397388,18.63573950016871,19.636762800160795,[],[],[],[],[],[],,,,,,,,,971507,001,2025-02-03_08h17.48.708,Foreperiod_task,2024.2.4,90.69941031398004,2025-02-03 08h17.54.400430 -0800,
4,0,4,,,,,,,,,,,,,space,0.6220186999998987,None,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.638388199964538,19.647063000127673,19.647063000127673,20.271696000127122,space,0.6220186999998987,None,,971507,001,2025-02-03_08h17.48.708,Foreperiod_task,2024.2.4,90.69941031398004,2025-02-03 08h17.54.400430 -0800,
0,0,0,[-0.060625],[0.063125],[1],[0],[0],[1.3765016000252217],[],[],[],[],[],[],,,,5,0,5,0,0,0,0,0,20.28031549998559,,,,,,,,,,,,20.272216300014406,20.28031549998559,0.0005000000819563866,20.28031549998559,20.48020190000534,21.412550000008196,21.412550000008196,21.412550000008196,21.423735700082034,21.649626499973238,1.1379962409840823,task,0.23850535904113945,[-0.060625],[0.063125],[1],[0],[0],[1.3765016000252217],21.64988819998689,21.658385700080544,0.00012720003724098206,21.958033400122076,23.270097100175917,[],[],[],[],[],[],,,,,,,,,971507,001,2025-02-03_08h17.48.708,Foreperiod_task,2024.2.4,90.69941031398004,2025-02-03 08h17.54.400430 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.271635300014168,23.280298399971798,23.280298399971798,,,,,,,,,,,,,
